Outreach Rank,Outreach Score /100,Company Name,Segment,Phone Number,Phone Type,Contact Channel,Best Time To Call,Ask For,Contact Approach,Location,Industry,Services,Google Reviews (verified),Google Rating (verified),Website,Web Dev Opportunity,Lead Score /100,Outreach Breakdown,Opening Line
84,65,Lynx Fuels,fuel distribution,01677 455140,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Leeming Bar, Northallerton",Oil Distribution,Kerosene and heating oil delivery,33,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=15/30 (33 reviews, 48% of fuel distribution) reputation=20/20 (4.8 excellent)","Quick one. When a customer rings Lynx Fuels to order fuel out of hours, what happens to that enquiry?"
85,65,Commercial Gas Solutions Ltd,commercial trade,07941 485268,mobile,Direct mobile call,07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Owner-run commercial outfit. They decide on the spot. Lead on missed out-of-hours enquiries from commercial clients, where a lost call is a lost contract.",Glasgow,Commercial Gas Engineering,Commercial gas services,,,,unknown - website discovery not run,91,reach[mobile]=25/25 segment[commercial trade]=20/25 demand=12/30 (no review data) reputation=8/20 (no rating),"Quick one. When someone contacts Commercial Gas Solutions Ltd outside working hours, what happens to that enquiry?"
86,64,Guardian Gas Ltd,commercial trade,0121 458 2888,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.",Birmingham,Commercial & Domestic Gas Engineering,"Commercial and domestic gas, electrical",8,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=9/30 (8 reviews, 31% of commercial trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Guardian Gas Ltd outside working hours, what happens to that enquiry?"
87,64,On Time Heating Services Ltd,domestic trade,07800 600394,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.",Birmingham,Gas & Heating Engineering,"Plumbing, heating, full property works",7,4.4,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=2/30 (7 reviews, 6% of domestic trade) reputation=12/20 (4.4 good)","Quick one. When someone contacts On Time Heating Services Ltd outside working hours, what happens to that enquiry?"
88,64,Willis Electrical Ltd,domestic trade,0117 287 2947,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally.",Bristol,Renewable Energy / Electrical,"Solar, battery, EV charger installation",19,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=4/30 (19 reviews, 15% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Willis Electrical Ltd outside working hours, what happens to that enquiry?"
89,63,Kelwick Engineering (GKE) Ltd,commercial trade,0114 294 5519,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.",Sheffield,Industrial Engineering,Engineering consultancy and manufacturing,23,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=12/30 (23 reviews, 42% of commercial trade) reputation=16/20 (4.5 strong)",Quick one. How does Kelwick Engineering (GKE) Ltd currently handle enquiry intake and quoting when the team is stretched?
90,63,H W Humphreys & Son,fuel distribution,01766 513017,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Porthmadog, Gwynedd",Oil Distribution,Heating oil delivery,36,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=17/30 (36 reviews, 56% of fuel distribution) reputation=16/20 (4.7 strong)","Quick one. When a customer rings H W Humphreys & Son to order fuel out of hours, what happens to that enquiry?"
91,63,JCH London,commercial trade,020 7622 0937,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.",London,Commercial Gas Engineering,"Commercial boiler fit-outs, restaurant gas systems",6,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=8/30 (6 reviews, 25% of commercial trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts JCH London outside working hours, what happens to that enquiry?"
92,63,Dual Flame Plumber Leeds,domestic trade,0113 892 1029,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally.","Armley, Leeds",Gas & Plumbing Engineering,"Emergency plumbing, boiler repair",8,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=3/30 (8 reviews, 10% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Dual Flame Plumber Leeds outside working hours, what happens to that enquiry?"
93,62,The Construction Solutions Group Ltd,domestic trade,0333 444 0254,non-geographic,"LinkedIn or email, not the phone","Tue-Thu, 09:00-11:00",owner / operations lead by name,0800/03 number means a switchboard will screen you. Find the decision maker on LinkedIn first and reference something specific about their operation.,London EC3V,Construction & Maintenance,"Plumbing, roofing, leak detection",64,4.9,,unknown - website discovery not run,91,"reach[non-geographic]=5/25 segment[domestic trade]=25/25 demand=12/30 (64 reviews, 42% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts The Construction Solutions Group Ltd outside working hours, what happens to that enquiry?"
94,62,Bearwood Gas Services,domestic trade,0121 429 7833,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 55 reviews shows steady demand - ask how they handle enquiries while on a job.","Bearwood, Birmingham",Gas Engineering,"Gas fire servicing, safety certificates",55,4.3,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=10/30 (55 reviews, 34% of domestic trade) reputation=12/20 (4.3 good)","Quick one. When someone contacts Bearwood Gas Services outside working hours, what happens to that enquiry?"
95,62,HNJ Engineering Ltd,b2b industrial,07989 101458,mobile,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Redcliffe, Bristol",Industrial Engineering,Precision parts manufacturing,3,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[b2b industrial]=10/25 demand=7/30 (3 reviews, 23% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does HNJ Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?
96,62,Fowlers of Bristol (Engineers) Ltd,b2b industrial,0117 982 8965,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Avonmouth, Bristol",Industrial Engineering / Manufacturing,Engineering and manufacturing,8,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=21/30 (8 reviews, 70% of b2b industrial) reputation=16/20 (4.5 strong)",Quick one. How does Fowlers of Bristol (Engineers) Ltd currently handle enquiry intake and quoting when the team is stretched?
97,62,Water and Pipeline Services,b2b industrial,01324 611353,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Falkirk,Pipeline Contracting,Pipeline installation and services,6,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=17/30 (6 reviews, 58% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Water and Pipeline Services currently handle enquiry intake and quoting when the team is stretched?
98,62,Pipework Limited,b2b industrial,0161 633 4879,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Chadderton, Oldham",Industrial Pipework,Pipework installation and manufacturing,8,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=21/30 (8 reviews, 70% of b2b industrial) reputation=16/20 (4.5 strong)","Quick one. When someone contacts Pipework Limited outside working hours, what happens to that enquiry?"
99,62,NEO NEXT+,energy major,01224 352500,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.",Aberdeen,Oil & Gas Operations,North Sea oil and gas operator,25,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=29/30 (25 reviews, 97% of energy major) reputation=16/20 (4.5 strong)","Quick one. When a customer rings NEO NEXT+ to order fuel out of hours, what happens to that enquiry?"
100,61,Masters Pipeline Services Ltd,b2b industrial,0117 963 8887,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Bristol,Pipeline & Gas Contracting,"Pipeline services, gas leak repair",21,3.9,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=28/30 (21 reviews, 94% of b2b industrial) reputation=8/20 (3.9 mixed)",Quick one. How does Masters Pipeline Services Ltd currently handle enquiry intake and quoting when the team is stretched?
101,61,DAMM Environmental,b2b industrial,0141 810 2460,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Hillington, Glasgow",Drainage & Environmental Services,"Drainage, water removal, environmental services",20,3.6,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=28/30 (20 reviews, 92% of b2b industrial) reputation=8/20 (3.6 mixed)","Quick one. When someone contacts DAMM Environmental outside working hours, what happens to that enquiry?"
102,60,Broadway Engineering Limited,b2b industrial,0117 965 7585,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Bristol,Industrial Engineering,General engineering,11,4.2,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=23/30 (11 reviews, 77% of b2b industrial) reputation=12/20 (4.2 good)",Quick one. How does Broadway Engineering Limited currently handle enquiry intake and quoting when the team is stretched?
103,60,Wilsons Engineering Ltd,b2b industrial,0117 947 4390,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Warmley, Bristol",Industrial Engineering,Custom engineering and fabrication,7,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=19/30 (7 reviews, 63% of b2b industrial) reputation=16/20 (4.7 strong)",Quick one. How does Wilsons Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?
104,60,Pipeline & Construction Supplies Ltd,b2b industrial,023 8042 8284,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Marchwood, Southampton",Pipeline Supplies,Pipeline and construction materials supply,7,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=19/30 (7 reviews, 63% of b2b industrial) reputation=16/20 (4.7 strong)",Quick one. How does Pipeline & Construction Supplies Ltd currently handle enquiry intake and quoting when the team is stretched?
105,60,Energy and Technical Services Ltd,commercial trade,0117 379 0850,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.","Pill, Bristol",Energy Consultancy & Maintenance,Energy project consultancy,4,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=5/30 (4 reviews, 17% of commercial trade) reputation=20/20 (4.8 excellent)","Quick one. When someone contacts Energy and Technical Services Ltd outside working hours, what happens to that enquiry?"
106,60,ADC Energy Ltd,commercial trade,01224 209123,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.","Queen's Rd, Aberdeen",Energy Consultancy,Energy consultancy services,4,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=5/30 (4 reviews, 17% of commercial trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts ADC Energy Ltd outside working hours, what happens to that enquiry?"
107,60,FPP Scotland Ltd,b2b industrial,0141 882 6200,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Hillington, Glasgow",Pipeline & Building Supplies,Pipeline and construction materials supply,7,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=19/30 (7 reviews, 63% of b2b industrial) reputation=16/20 (4.7 strong)",Quick one. How does FPP Scotland Ltd currently handle enquiry intake and quoting when the team is stretched?
108,60,D&A Oil Tanks,domestic trade,01580 715762,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally.","Cranbrook, Kent",Oil Infrastructure Services,Oil tank replacement and installation,4,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=0/30 (4 reviews, 1% of domestic trade) reputation=20/20 (4.8 excellent)","Quick one. When a customer rings D&A Oil Tanks to order fuel out of hours, what happens to that enquiry?"
109,59,Shire Fuels Ltd,fuel distribution,01594 738139,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Cinderford, Gloucestershire",Oil Distribution,Heating oil delivery,10,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=9/30 (10 reviews, 30% of fuel distribution) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings Shire Fuels Ltd to order fuel out of hours, what happens to that enquiry?"
110,59,Anglesey Oil Ltd / Olew Mon Cyf,fuel distribution,01248 421641,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Gaerwen, Anglesey",Oil Distribution,Heating oil delivery,23,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=13/30 (23 reviews, 42% of fuel distribution) reputation=16/20 (4.7 strong)","Quick one. When a customer rings Anglesey Oil Ltd / Olew Mon Cyf to order fuel out of hours, what happens to that enquiry?"
111,59,Swire Energy Services,energy major,01224 872707,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.",Aberdeen,Energy Equipment & Services,"Offshore containers, energy equipment services",10,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=22/30 (10 reviews, 73% of energy major) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Swire Energy Services outside working hours, what happens to that enquiry?"
112,58,United Fuels,fuel distribution,01756 691222,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Skipton, N Yorkshire",Oil Distribution,Heating oil delivery,55,3.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=20/30 (55 reviews, 67% of fuel distribution) reputation=8/20 (3.8 mixed)","Quick one. When a customer rings United Fuels to order fuel out of hours, what happens to that enquiry?"
113,58,Southern Fuels Ltd,fuel distribution,01404 831775,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Honiton, Devon",Oil Distribution,Heating oil delivery,18,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=12/30 (18 reviews, 39% of fuel distribution) reputation=16/20 (4.5 strong)","Quick one. When a customer rings Southern Fuels Ltd to order fuel out of hours, what happens to that enquiry?"
114,58,LV Fuel and Oil Tank Services,domestic trade,0800 799 9739,non-geographic,"LinkedIn or email, not the phone","Tue-Thu, 09:00-11:00",owner / operations lead by name,0800/03 number means a switchboard will screen you. Find the decision maker on LinkedIn first and reference something specific about their operation.,"Fellbeck, N Yorkshire",Oil Infrastructure Services,"Oil tank replacement, fuel services",41,5.0,,unknown - website discovery not run,91,"reach[non-geographic]=5/25 segment[domestic trade]=25/25 demand=8/30 (41 reviews, 28% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings LV Fuel and Oil Tank Services to order fuel out of hours, what happens to that enquiry?"
115,58,B&S Pipeline Solutions Ltd,b2b industrial,01343 821775,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Fochabers, Moray",Pipeline & Drainage Services,"Drainage clearance, pipeline solutions",6,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=17/30 (6 reviews, 58% of b2b industrial) reputation=16/20 (4.5 strong)",Quick one. How does B&S Pipeline Solutions Ltd currently handle enquiry intake and quoting when the team is stretched?
116,58,A E T Ltd (Advanced Engineering Techniques),b2b industrial,0114 247 5725,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Holbrook, Sheffield",Industrial Engineering,Special steel products manufacturing,8,4.4,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=21/30 (8 reviews, 70% of b2b industrial) reputation=12/20 (4.4 good)",Quick one. How does A E T Ltd (Advanced Engineering Techniques) currently handle enquiry intake and quoting when the team is stretched?
117,58,Neptune E&P UK,energy major,01224 281000,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.",Aberdeen,Oil & Gas Exploration/Production,North Sea exploration and production,12,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=25/30 (12 reviews, 83% of energy major) reputation=16/20 (4.7 strong)","Quick one. When a customer rings Neptune E&P UK to order fuel out of hours, what happens to that enquiry?"
118,57,Geoff Boorman Fuels,fuel distribution,01732 863834,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Edenbridge, Kent",Oil Distribution,Heating oil delivery,53,3.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=19/30 (53 reviews, 64% of fuel distribution) reputation=8/20 (3.0 mixed)","Quick one. When a customer rings Geoff Boorman Fuels to order fuel out of hours, what happens to that enquiry?"
119,57,Adapt Gas Solutions Limited,commercial trade,0161 526 5588,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.","Denton, Manchester",Commercial Gas Services,Commercial gas / FM services,2,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=2/30 (2 reviews, 6% of commercial trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Adapt Gas Solutions Limited outside working hours, what happens to that enquiry?"
120,57,Yorkshire Oils Ltd,fuel distribution,01423 396789,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Boroughbridge, N Yorkshire",Oil Distribution,Heating oil delivery,9,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=7/30 (9 reviews, 23% of fuel distribution) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings Yorkshire Oils Ltd to order fuel out of hours, what happens to that enquiry?"
121,57,Your NRG Yorkshire,fuel distribution,01904 409700,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Elvington, York",Oil Distribution,Heating oil supply,35,4.3,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=15/30 (35 reviews, 52% of fuel distribution) reputation=12/20 (4.3 good)","Quick one. When a customer rings Your NRG Yorkshire to order fuel out of hours, what happens to that enquiry?"
122,57,Ekspan Limited,b2b industrial,0114 261 1126,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Sheffield,Industrial Engineering / Manufacturing,"Precision manufacturing, reverse engineering",4,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=12/30 (4 reviews, 40% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Ekspan Limited currently handle enquiry intake and quoting when the team is stretched?
123,57,Coltech Precision Engineering,b2b industrial,0114 242 4281,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Sheffield,Precision Engineering,Precision engineering services,4,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=12/30 (4 reviews, 40% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Coltech Precision Engineering currently handle enquiry intake and quoting when the team is stretched?
124,57,Engineering CFD Ltd,commercial trade,0114 296 1005,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.",Sheffield,Engineering Consultancy,Computational fluid dynamics consultancy,2,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=2/30 (2 reviews, 6% of commercial trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Engineering CFD Ltd outside working hours, what happens to that enquiry?"
125,57,Jarman W T & Sons,fuel distribution,01570 422434,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Lampeter, Ceredigion",Oil Distribution,Heating oil delivery,9,4.9,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=7/30 (9 reviews, 23% of fuel distribution) reputation=20/20 (4.9 excellent)","Quick one. When a customer rings Jarman W T & Sons to order fuel out of hours, what happens to that enquiry?"
126,57,Bracebridge Engineering Ltd,b2b industrial,0121 331 1503,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Perry Barr, Birmingham",Industrial Engineering / Manufacturing,Engineering manufacturing,4,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=12/30 (4 reviews, 40% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Bracebridge Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?
127,57,Propbrook Engineering Ltd,b2b industrial,0121 359 7097,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Birmingham,Precision Engineering,Precision engineering manufacturing,4,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=12/30 (4 reviews, 40% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Propbrook Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?
128,57,Wilco Manufacturing Ltd,b2b industrial,0121 772 6212,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Tyseley, Birmingham",Industrial Manufacturing,Manufacturing and supply,4,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=12/30 (4 reviews, 40% of b2b industrial) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Wilco Manufacturing Ltd outside working hours, what happens to that enquiry?"
