Company Name,Website,Industry,Services,Location,Number of Employees,Annual Revenue,Managing Director / Owner,Email Address,Phone Number,LinkedIn Company Page,Company LinkedIn URL,Decision Maker LinkedIn,Companies House Number,Uses CRM (unverified),Online Booking (unverified),Live Chat (unverified),Website Outdated Score (unverified),Google Reviews (verified),Google Rating (verified),Automation Opportunity,Suggested AI Automation Package,Opening Line,Lead Score /100
Neptune E&P UK,,Oil & Gas Exploration/Production,North Sea exploration and production,Aberdeen,,,,,01224 281000,,,,,,,,,12,4.7,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,"Quick one. When a customer rings Neptune E&P UK to order fuel out of hours, what happens to that enquiry?",53
NEO NEXT+,,Oil & Gas Operations,North Sea oil and gas operator,Aberdeen,,,,,01224 352500,,,,,,,,,25,4.5,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings NEO NEXT+ to order fuel out of hours, what happens to that enquiry?",53
Swire Energy Services,,Energy Equipment & Services,"Offshore containers, energy equipment services",Aberdeen,,,,,01224 872707,,,,,,,,,10,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts Swire Energy Services outside working hours, what happens to that enquiry?",53
Intrelec Ltd,,Electrical & Mechanical Services,Electrical installation and maintenance,London SW18,,,,,020 8261 7600,,,,,,,,,10,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Intrelec Ltd outside working hours, what happens to that enquiry?",53
JCW Energy Services,,Energy Services,Energy services,Bristol,,,,,0117 952 2571,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts JCW Energy Services outside working hours, what happens to that enquiry?",48
Spirit Energy,,Oil & Gas Exploration/Production,Oil and gas exploration and production,Aberdeen,,,,,01224 415000,,,,,,,,,20,3.8,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,"Quick one. When a customer rings Spirit Energy to order fuel out of hours, what happens to that enquiry?",48
Cornerstone Oil & Gas Ltd,,Oil & Gas Services,Oil and gas services,"Hill of Rubislaw, Aberdeen",,,,,01224 466718,,,,,,,,,2,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Cornerstone Oil & Gas Ltd to order fuel out of hours, what happens to that enquiry?",48
Ithaca Energy,,Oil & Gas Exploration/Production,North Sea oil and gas production,"Hill of Rubislaw, Aberdeen",,,,,01224 334000,,,,,,,,,3,4.7,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,"Quick one. When a customer rings Ithaca Energy to order fuel out of hours, what happens to that enquiry?",48
DAMM Environmental,,Drainage & Environmental Services,"Drainage, water removal, environmental services","Hillington, Glasgow",,,,,0141 810 2460,,,,,,,,,20,3.6,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts DAMM Environmental outside working hours, what happens to that enquiry?",48
CNR International UK Ltd,,Oil & Gas Exploration/Production,North Sea oil and gas operations,Aberdeen,,,,,01224 303600,,,,,,,,,8,4.3,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,"Quick one. When a customer rings CNR International UK Ltd to order fuel out of hours, what happens to that enquiry?",43
Zenith Energy,,Oil & Gas Operations,Oil and gas operations,"Bon-Accord Square, Aberdeen",,,,,01224 460100,,,,,,,,,3,3.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Zenith Energy to order fuel out of hours, what happens to that enquiry?",43
